date,symbol,open,high,low,close,volume,volume USD
2018-12-20,XRPUSD,0.3472,0.389,0.3415,0.3741,55519194.53,20587040.19
2018-12-19,XRPUSD,0.3507,0.3934,0.3417,0.3472,46286869.27,16967446.89
2018-12-18,XRPUSD,0.3262,0.351,0.3202,0.3507,37532225.98,12484528.97
2018-12-17,XRPUSD,0.2834,0.336,0.2811,0.3262,38885804.32,11993904.19
2018-12-16,XRPUSD,0.2818,0.2919,0.2803,0.2834,12616872.32,3608313.45
2018-12-15,XRPUSD,0.2854,0.2877,0.2779,0.2818,13722970.54,3871446.01
2018-12-14,XRPUSD,0.296,0.2967,0.2795,0.2854,22941699.61,6603546.73
2018-12-13,XRPUSD,0.3034,0.3039,0.2903,0.296,16764804.95,5000723.29
2018-12-12,XRPUSD,0.2968,0.308,0.2943,0.3034,16076712.1,4842948.37
2018-12-11,XRPUSD,0.2976,0.3062,0.29,0.297,17231413.15,5114667.84
2018-12-10,XRPUSD,0.307,0.3112,0.2912,0.2976,22954309.8,6842850.31
2018-12-09,XRPUSD,0.3008,0.3177,0.2961,0.307,11033718.17,3384755.93
2018-12-08,XRPUSD,0.299,0.32,0.29,0.3008,20257259.87,6132458.26
2018-12-07,XRPUSD,0.3027,0.309,0.286,0.299,61028583.08,18185639.54
2018-12-06,XRPUSD,0.3324,0.34,0.3,0.3027,36251698.44,11738448.27
2018-12-05,XRPUSD,0.3478,0.3492,0.332,0.3324,23360144.18,7952471.68
2018-12-04,XRPUSD,0.3431,0.3589,0.3344,0.3478,18590879.97,6487838.32
2018-12-03,XRPUSD,0.3647,0.3655,0.3345,0.3431,26102891.81,9094930.73
2018-12-02,XRPUSD,0.3666,0.3754,0.359,0.3647,12558357.18,4586864.11
2018-12-01,XRPUSD,0.3585,0.3749,0.3526,0.3666,13287779.21,4869594.04
2018-11-30,XRPUSD,0.3774,0.3794,0.349,0.3585,23949948.52,8667220.16
2018-11-29,XRPUSD,0.3891,0.3918,0.3667,0.3774,26633101.9,10073109.59
2018-11-28,XRPUSD,0.3561,0.3982,0.3556,0.3891,35159969.52,13328890.2
2018-11-27,XRPUSD,0.3512,0.366,0.3346,0.3561,28527663.44,9899714.4
2018-11-26,XRPUSD,0.3687,0.3846,0.3311,0.3512,57433412.8,20660994.34
2018-11-25,XRPUSD,0.3659,0.384,0.3112,0.3687,65267988.89,22505412.06
2018-11-24,XRPUSD,0.4017,0.4128,0.354,0.3659,26524428.72,10164594.56
2018-11-23,XRPUSD,0.4168,0.4219,0.3883,0.4017,35858223.21,14389891.83
2018-11-22,XRPUSD,0.4408,0.4451,0.4152,0.4168,19165333.47,8259588.25
2018-11-21,XRPUSD,0.4247,0.454,0.405,0.4408,42563330.96,18301810.41
2018-11-20,XRPUSD,0.4658,0.492,0.4,0.4247,63718430.91,28182549.25
2018-11-19,XRPUSD,0.5056,0.5064,0.46,0.4658,42838324.21,20624067.72
2018-11-18,XRPUSD,0.486,0.519,0.4856,0.5056,20190247.69,10171240.01
2018-11-17,XRPUSD,0.4659,0.4924,0.4607,0.486,15201072.34,7276314.63
2018-11-16,XRPUSD,0.4745,0.4798,0.456,0.4659,17891116.53,8364220.78
2018-11-15,XRPUSD,0.4586,0.479,0.4149,0.4745,39026457.04,17565288.72
2018-11-14,XRPUSD,0.5019,0.5035,0.4,0.4586,54202404.96,24406578.14
2018-11-13,XRPUSD,0.515,0.52,0.4954,0.5019,18071290.56,9222345.58
2018-11-12,XRPUSD,0.5018,0.5256,0.4967,0.515,21114637.78,10809274.32
2018-11-11,XRPUSD,0.5024,0.505,0.4921,0.5018,6224952.51,3107885.09
2018-11-10,XRPUSD,0.497,0.508,0.4956,0.5024,10059333.29,5053698.87
2018-11-09,XRPUSD,0.4907,0.515,0.4897,0.497,18698769.96,9365992.94
2018-11-08,XRPUSD,0.5339,0.5389,0.488,0.4907,31921549.29,16156811.43
2018-11-07,XRPUSD,0.5487,0.5517,0.5215,0.5339,21947902.06,11702817.66
2018-11-06,XRPUSD,0.4957,0.565,0.457,0.5487,48883890.16,25836878.53
2018-11-05,XRPUSD,0.4663,0.4999,0.459,0.4957,25606888.41,12247639.33
2018-11-04,XRPUSD,0.4526,0.4745,0.4471,0.4663,17421467.65,8057491.38
2018-11-03,XRPUSD,0.4558,0.4578,0.4499,0.4526,4674973.8,2119827.83
2018-11-02,XRPUSD,0.457,0.4621,0.452,0.4558,29749020.59,13577259.36
2018-11-01,XRPUSD,0.4504,0.4582,0.445,0.457,11101967.13,5013881.06
2018-10-31,XRPUSD,0.4438,0.457,0.4334,0.4504,16757493.08,7455500.68
2018-10-30,XRPUSD,0.4399,0.4477,0.4369,0.4438,12696988.03,5616783.59
2018-10-29,XRPUSD,0.4596,0.4601,0.4265,0.4399,24946028.98,11031808.96
2018-10-28,XRPUSD,0.4537,0.4605,0.4514,0.4596,9398317.05,4283098.62
2018-10-27,XRPUSD,0.4572,0.4586,0.4503,0.4537,7329093.55,3324050.44
2018-10-26,XRPUSD,0.4546,0.4593,0.4481,0.4572,13106299.64,5961100.03
2018-10-25,XRPUSD,0.4538,0.4615,0.4482,0.4546,13722737.58,6221156.86
2018-10-24,XRPUSD,0.4592,0.4661,0.45,0.4538,10178859.66,4668437.61
2018-10-23,XRPUSD,0.4506,0.474,0.4324,0.4592,27460523.68,12294731.82
2018-10-22,XRPUSD,0.4529,0.4546,0.444,0.4506,8402930.72,3773708.29
2018-10-21,XRPUSD,0.4547,0.4633,0.4503,0.4529,7019567.32,3201867.87
2018-10-20,XRPUSD,0.4499,0.463,0.4464,0.4547,7154820.48,3251489.95
2018-10-19,XRPUSD,0.453,0.4564,0.442,0.4499,13680077.25,6138486.9
2018-10-18,XRPUSD,0.4626,0.4725,0.436,0.453,23907295.52,10883173.62
2018-10-17,XRPUSD,0.4637,0.4739,0.4522,0.4626,17810906.17,8222335.8
2018-10-16,XRPUSD,0.44,0.4408,0.4365,0.4386,129329.64,56631.89
2018-10-15,XRPUSD,0.3988,0.465,0.3884,0.44,41457426.61,17913034.2
2018-10-14,XRPUSD,0.414,0.4222,0.393,0.3988,10586973.78,4371515.89
2018-10-13,XRPUSD,0.4148,0.429,0.4074,0.414,14044467.49,5813986.42
2018-10-12,XRPUSD,0.3762,0.4389,0.3719,0.4148,30910364.24,12837028.41
2018-10-11,XRPUSD,0.4595,0.4595,0.372,0.3762,53414944.66,21708527.83
2018-10-10,XRPUSD,0.4768,0.4773,0.4531,0.4595,15045650.91,6963232.52
2018-10-09,XRPUSD,0.4867,0.488,0.4665,0.4768,12429038.72,5926797.22
2018-10-08,XRPUSD,0.48,0.4999,0.474,0.4867,21375843.52,10404238.17
2018-10-07,XRPUSD,0.486,0.49,0.4631,0.48,14081339.33,6684117.48
2018-10-06,XRPUSD,0.5154,0.5192,0.461,0.486,25574104.72,12374934.93
2018-10-05,XRPUSD,0.5262,0.531,0.501,0.5154,17551879.41,9039747.32
2018-10-04,XRPUSD,0.525,0.546,0.5208,0.5262,14044885.11,7495704.12
2018-10-03,XRPUSD,0.5139,0.5355,0.502,0.525,23447489.71,12186151.06
2018-10-02,XRPUSD,0.573,0.577,0.5127,0.5139,23718100.05,13000182.1
2018-10-01,XRPUSD,0.5812,0.6,0.53,0.573,38600338.43,21898066.83
2018-09-30,XRPUSD,0.5672,0.6206,0.5561,0.5812,27455440.86,16049474.15
2018-09-29,XRPUSD,0.5374,0.5931,0.5218,0.5672,24557027.36,13752310.59
2018-09-28,XRPUSD,0.5434,0.551,0.5157,0.5374,18871115.33,10098597.19
2018-09-27,XRPUSD,0.513,0.555,0.5022,0.5434,27740863.96,14732990.23
2018-09-26,XRPUSD,0.5235,0.5724,0.4844,0.513,54029403.07,28530059.05
2018-09-25,XRPUSD,0.4923,0.55,0.435,0.5235,59769318.36,28433078.36
2018-09-24,XRPUSD,0.5704,0.581,0.4811,0.4923,34805665.11,18234678.83
2018-09-23,XRPUSD,0.5701,0.595,0.5542,0.5704,18695367.29,10732660.72
2018-09-22,XRPUSD,0.5623,0.625,0.49,0.5701,48652358.78,27244067.62
2018-09-21,XRPUSD,0.449,0.7644,0.4255,0.5623,129615936.93,73796664.5
2018-09-20,XRPUSD,0.326,0.4914,0.3214,0.449,56655970.05,22613746.84
2018-09-19,XRPUSD,0.3186,0.334,0.31,0.326,25207705.81,8145541.91
2018-09-18,XRPUSD,0.27,0.3345,0.2691,0.3186,40439109.01,12614288.34
2018-09-17,XRPUSD,0.2808,0.2836,0.2663,0.27,12147762.23,3332151.8
2018-09-16,XRPUSD,0.2808,0.2821,0.274,0.2808,3910910.63,1087000.54
2018-09-15,XRPUSD,0.2764,0.2846,0.2753,0.2808,4208577.24,1180779.0
2018-09-14,XRPUSD,0.2789,0.2846,0.272,0.2764,11516734.75,3206748.3
2018-09-13,XRPUSD,0.2702,0.2854,0.2665,0.2789,17946898.71,4973431.11
