timestamp,date,symbol,open,high,low,close,volume
1542600000000,2018-11-19 04:00:00,ZECUSD,112.32,112.32,93.5,97.21,19702.70802969
1542513600000,2018-11-18 04:00:00,ZECUSD,110.46,115.23,108.37,112.32,4930.421391
1542427200000,2018-11-17 04:00:00,ZECUSD,105.08,111.6,103.91,110.46,514.52755131
1542340800000,2018-11-16 04:00:00,ZECUSD,110.18,110.18,104.6,105.08,50.832546
1542254400000,2018-11-15 04:00:00,ZECUSD,106.0,110.46,97.3,110.18,9783.11872134
1542168000000,2018-11-14 04:00:00,ZECUSD,126.46,126.94,100.45,106.0,21922.81258218
1542081600000,2018-11-13 04:00:00,ZECUSD,131.65,134.27,125.0,126.46,5757.41150634
1541995200000,2018-11-12 04:00:00,ZECUSD,126.97,136.37,123.1,131.65,6685.8481264
1541908800000,2018-11-11 04:00:00,ZECUSD,130.09,130.8,126.37,126.97,998.89147168
1541822400000,2018-11-10 04:00:00,ZECUSD,131.25,136.99,127.01,130.09,560.00030231
1541736000000,2018-11-09 04:00:00,ZECUSD,134.5,134.92,131.12,131.25,3.240706
1541649600000,2018-11-08 04:00:00,ZECUSD,128.0,139.23,126.86,134.5,12708.97892842
1541563200000,2018-11-07 04:00:00,ZECUSD,131.95,131.95,125.01,128.0,9751.40375349
1541476800000,2018-11-06 04:00:00,ZECUSD,121.25,132.28,121.25,131.95,8528.77422187
1541390400000,2018-11-05 04:00:00,ZECUSD,119.33,123.89,117.8,121.25,6787.76052809
1541304000000,2018-11-04 04:00:00,ZECUSD,116.11,121.69,115.94,119.33,1445.81992504
1541217600000,2018-11-03 04:00:00,ZECUSD,117.23,117.23,115.22,116.11,537.27845657
1541131200000,2018-11-02 04:00:00,ZECUSD,116.19,119.4,115.2,117.23,3439.81058226
1541044800000,2018-11-01 04:00:00,ZECUSD,114.97,116.5,114.01,116.19,2908.17112056
1540958400000,2018-10-31 04:00:00,ZECUSD,114.35,116.26,112.74,114.97,4036.45793557
1540872000000,2018-10-30 04:00:00,ZECUSD,114.85,115.15,113.63,114.35,5764.7787893
1540785600000,2018-10-29 04:00:00,ZECUSD,121.86,122.44,112.0,114.85,3244.10508709
1540699200000,2018-10-28 04:00:00,ZECUSD,119.02,122.26,118.72,121.86,551.0057554
1540612800000,2018-10-27 04:00:00,ZECUSD,121.01,121.01,117.5,119.02,1078.42391658
1540526400000,2018-10-26 04:00:00,ZECUSD,122.6,122.6,116.01,121.01,5282.08473831
1540440000000,2018-10-25 04:00:00,ZECUSD,125.69,126.52,122.3,122.6,5017.98134148
1540353600000,2018-10-24 04:00:00,ZECUSD,119.42,127.76,119.13,125.69,4267.55226156
1540267200000,2018-10-23 04:00:00,ZECUSD,120.5,121.45,118.0,119.42,1931.4693235
1540180800000,2018-10-22 04:00:00,ZECUSD,122.81,123.15,119.61,120.5,1482.10403592
1540094400000,2018-10-21 04:00:00,ZECUSD,123.48,124.62,121.46,122.81,1802.2056814
1540008000000,2018-10-20 04:00:00,ZECUSD,115.1,125.8,115.1,123.48,2060.98792012
1539921600000,2018-10-19 04:00:00,ZECUSD,115.1,115.1,115.1,115.1,0.0
1539835200000,2018-10-18 04:00:00,ZECUSD,117.74,120.48,115.1,115.1,2072.30774959
1539748800000,2018-10-17 04:00:00,ZECUSD,111.73,119.3,111.19,117.74,5485.13258587
1539662400000,2018-10-16 04:00:00,ZECUSD,109.37,113.36,108.7,111.73,1787.26266495
1539576000000,2018-10-15 04:00:00,ZECUSD,106.03,118.09,105.37,109.37,20196.36625898
1539489600000,2018-10-14 04:00:00,ZECUSD,109.33,110.46,105.78,106.03,1042.92646647
1539403200000,2018-10-13 04:00:00,ZECUSD,109.41,110.21,108.35,109.33,1325.03410359
1539316800000,2018-10-12 04:00:00,ZECUSD,107.95,107.95,107.95,107.95,0.0
1539230400000,2018-10-11 04:00:00,ZECUSD,114.59,114.59,106.99,107.95,4509.06900537
1539144000000,2018-10-10 04:00:00,ZECUSD,123.79,124.8,112.41,114.59,4118.57201995
1539057600000,2018-10-09 04:00:00,ZECUSD,127.0,127.97,123.79,123.79,2448.41957191
1538971200000,2018-10-08 04:00:00,ZECUSD,124.22,128.81,123.28,127.0,3057.92885404
1538884800000,2018-10-07 04:00:00,ZECUSD,124.63,125.02,122.95,124.22,192.91935373
1538798400000,2018-10-06 04:00:00,ZECUSD,125.8,126.6,123.53,124.63,390.27442961
1538712000000,2018-10-05 04:00:00,ZECUSD,125.0,126.43,125.0,125.8,122.409
1538625600000,2018-10-04 04:00:00,ZECUSD,123.34,125.01,121.81,125.0,1200.15678754
1538539200000,2018-10-03 04:00:00,ZECUSD,121.03,123.76,120.2,123.34,3463.41271682
1538452800000,2018-10-02 04:00:00,ZECUSD,126.61,126.84,120.3,121.03,3250.68152893
1538366400000,2018-10-01 04:00:00,ZECUSD,132.66,132.66,125.75,126.61,1307.44076926
1538280000000,2018-09-30 04:00:00,ZECUSD,131.51,133.46,127.5,132.66,560.01803547
1538193600000,2018-09-29 04:00:00,ZECUSD,134.21,135.48,130.36,131.51,713.26834313
1538107200000,2018-09-28 04:00:00,ZECUSD,141.89,141.89,134.21,134.21,1.0
1538020800000,2018-09-27 04:00:00,ZECUSD,135.84,144.77,133.13,141.89,4236.96836224
1537934400000,2018-09-26 04:00:00,ZECUSD,128.9,143.77,128.42,135.84,6517.36059727
1537848000000,2018-09-25 04:00:00,ZECUSD,133.8,137.91,125.98,128.9,5384.71368269
